domain,main_nll,zero_message_nll,main_token_accuracy,control_token_accuracy,tokens_per_arm
arithmetic,1.755052387714386,1.7550364434719086,0.4921875,0.4921875,512
code_trace,1.6312335431575775,1.6312161087989807,0.568359375,0.568359375,512
english_docstring,5.592865586280823,5.5928696393966675,0.076171875,0.076171875,512
memory_chain,1.1307269632816315,1.1307299137115479,0.685546875,0.685546875,512
memory_update,1.4096303582191467,1.4096517860889435,0.64453125,0.64453125,512
multistep,1.2526306509971619,1.2526208460330963,0.6171875,0.6171875,512
python_source,5.2600449323654175,5.260047912597656,0.099609375,0.099609375,512
ru_prose,4.00457364320755,4.004613399505615,0.2734375,0.2734375,512
sorting,2.3031325340270996,2.3031362891197205,0.244140625,0.244140625,512
MACRO,2.7044322888056436,2.704435815413793,,,4608
