arm,split,n,correct,accuracy,ci_low,ci_high,pair_accuracy
baseline,test_iid,160,0,0.0,0,0.02344619517150519,
baseline,test_surface,80,0,0.0,0,0.0458181295355271,
baseline,test_extrapolation,80,0,0.0,0,0.0458181295355271,
baseline,test_counterfactual,80,0,0.0,0,0.0458181295355271,0.0
answer_only,test_iid,160,4,0.025,0.009763992546262524,0.06250989286666742,
answer_only,test_surface,80,1,0.0125,0.0022099755204522745,0.06746270077668665,
answer_only,test_extrapolation,80,0,0.0,0,0.0458181295355271,
answer_only,test_counterfactual,80,0,0.0,0,0.0458181295355271,0.0
full_sequence,test_iid,160,4,0.025,0.009763992546262524,0.06250989286666742,
full_sequence,test_surface,80,1,0.0125,0.0022099755204522745,0.06746270077668665,
full_sequence,test_extrapolation,80,0,0.0,0,0.0458181295355271,
full_sequence,test_counterfactual,80,1,0.0125,0.0022099755204522745,0.06746270077668665,0.0
