variant,split,unique_cases,seeds,mean_accuracy,seed_std,correct_seed7301,correct_seed7302,correct_seed7303,both_correct_pair_mean
full,test_iid,160,3,0.07291666666666667,0.021949278651776538,8,15,12,
full,test_surface,80,3,0.020833333333333332,0.007216878364870323,1,2,2,
full,test_extrapolation,80,3,0.0,0.0,0,0,0,
full,test_counterfactual,80,3,0.041666666666666664,0.007216878364870324,3,3,4,0.0
shared,test_iid,160,3,0.06458333333333333,0.020090939085401986,9,14,8,
shared,test_surface,80,3,0.029166666666666664,0.02602082499332666,0,4,3,
shared,test_extrapolation,80,3,0.004166666666666667,0.0072168783648703235,1,0,0,
shared,test_counterfactual,80,3,0.05833333333333334,0.026020824993326655,7,4,3,0.0
hybrid,test_iid,160,3,0.09166666666666666,0.019094065395649337,12,14,18,
hybrid,test_surface,80,3,0.016666666666666666,0.007216878364870323,1,2,1,
hybrid,test_extrapolation,80,3,0.0,0.0,0,0,0,
hybrid,test_counterfactual,80,3,0.05416666666666666,0.019094065395649333,3,4,6,0.0
hybrid_reset,test_iid,160,3,0.027083333333333334,0.020090939085401993,8,2,3,
hybrid_reset,test_surface,80,3,0.004166666666666667,0.0072168783648703235,1,0,0,
hybrid_reset,test_extrapolation,80,3,0.004166666666666667,0.0072168783648703235,1,0,0,
hybrid_reset,test_counterfactual,80,3,0.025000000000000005,0.025,2,0,4,0.0
