variant,seed,split,n,correct,accuracy,both_correct_pairs
causal_hybrid,7501,test_iid,160,2,0.0125,0
causal_hybrid,7501,test_surface,80,0,0.0,0
causal_hybrid,7501,test_extrapolation,80,1,0.0125,0
causal_hybrid,7501,test_counterfactual,80,0,0.0,0
prefix_hybrid,7501,test_iid,160,1,0.00625,0
prefix_hybrid,7501,test_surface,80,0,0.0,0
prefix_hybrid,7501,test_extrapolation,80,0,0.0,0
prefix_hybrid,7501,test_counterfactual,80,0,0.0,0
causal_hybrid,7502,test_iid,160,1,0.00625,0
causal_hybrid,7502,test_surface,80,0,0.0,0
causal_hybrid,7502,test_extrapolation,80,0,0.0,0
causal_hybrid,7502,test_counterfactual,80,0,0.0,0
prefix_hybrid,7502,test_iid,160,2,0.0125,0
prefix_hybrid,7502,test_surface,80,0,0.0,0
prefix_hybrid,7502,test_extrapolation,80,0,0.0,0
prefix_hybrid,7502,test_counterfactual,80,0,0.0,0
causal_hybrid,7503,test_iid,160,2,0.0125,0
causal_hybrid,7503,test_surface,80,0,0.0,0
causal_hybrid,7503,test_extrapolation,80,0,0.0,0
causal_hybrid,7503,test_counterfactual,80,1,0.0125,0
prefix_hybrid,7503,test_iid,160,2,0.0125,0
prefix_hybrid,7503,test_surface,80,0,0.0,0
prefix_hybrid,7503,test_extrapolation,80,0,0.0,0
prefix_hybrid,7503,test_counterfactual,80,1,0.0125,0
