arm,seed,split,n,correct,accuracy,both_correct_pairs,truncated
verified_trace,7601,iid,400,19,0.0475,0,0
verified_trace,7601,surface,400,9,0.0225,0,0
verified_trace,7601,extrapolation,400,1,0.0025,0,0
verified_trace,7601,counterfactual,400,19,0.0475,0,0
final_only,7601,iid,400,2,0.005,0,0
final_only,7601,surface,400,1,0.0025,0,0
final_only,7601,extrapolation,400,0,0.0,0,0
final_only,7601,counterfactual,400,1,0.0025,0,0
verified_trace,7602,iid,400,24,0.06,0,0
verified_trace,7602,surface,400,9,0.0225,0,0
verified_trace,7602,extrapolation,400,7,0.0175,0,0
verified_trace,7602,counterfactual,400,18,0.045,0,0
final_only,7602,iid,400,3,0.0075,0,0
final_only,7602,surface,400,0,0.0,0,0
final_only,7602,extrapolation,400,1,0.0025,0,0
final_only,7602,counterfactual,400,2,0.005,0,0
verified_trace,7603,iid,400,22,0.055,0,0
verified_trace,7603,surface,400,14,0.035,0,0
verified_trace,7603,extrapolation,400,0,0.0,0,0
verified_trace,7603,counterfactual,400,25,0.0625,0,0
final_only,7603,iid,400,4,0.01,0,0
final_only,7603,surface,400,3,0.0075,0,0
final_only,7603,extrapolation,400,1,0.0025,0,0
final_only,7603,counterfactual,400,2,0.005,0,0
