condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals,mean_groups,mean_slots,mean_group_ess
id8,greedy,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,1608.0,0.0,32.0,0.0
id8,r45_posterior_lse,24,1.0,0.0,1.0,1.0,1.0,1607.6666666666667,91.28645833333333,28.994791666666668,1.1878112911810244
id8,ablation_group_max,24,1.0,0.0,0.9947916666666666,0.9583333333333334,0.9583333333333334,1607.6666666666667,91.24479166666667,28.994791666666668,1.4630973434804264
ood32,greedy,18,0.3888888888888889,0.4874980215217846,0.703125,0.3888888888888889,0.3888888888888889,0.0,0.0,1.0,1.0
ood32,r35_fixed32,18,0.9444444444444444,0.2290614236454256,0.9774305555555556,0.9444444444444444,0.9444444444444444,7752.0,0.0,32.0,0.0
ood32,r45_posterior_lse,18,0.8888888888888888,0.3142696805273545,0.9774305555555556,0.9444444444444444,0.8888888888888888,7752.0,163.00520833333334,31.25,2.83798862680168
ood32,ablation_group_max,18,0.2222222222222222,0.41573970964154905,0.9409722222222222,0.8333333333333334,0.16666666666666666,7752.0,163.60416666666666,31.25,14.695290338588542
ood64,greedy,18,0.3333333333333333,0.4714045207910317,0.5972222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,1.0
ood64,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.8897569444444444,0.8333333333333334,0.8333333333333334,15944.0,0.0,32.0,0.0
ood64,r45_posterior_lse,18,0.8333333333333334,0.37267799624996495,0.8914930555555556,0.8333333333333334,0.8333333333333334,15944.0,177.79340277777777,31.625,4.515568724660891
ood64,ablation_group_max,18,0.16666666666666666,0.372677996249965,0.7881944444444444,0.6666666666666666,0.1111111111111111,15944.0,181.63541666666666,31.625,15.251275915534993
ood128,greedy,12,0.0,0.0,0.24934895833333334,0.0,0.0,0.0,0.0,1.0,1.0
ood128,r35_fixed32,12,0.3333333333333333,0.4714045207910317,0.44140625,0.3333333333333333,0.25,32328.0,0.0,32.0,0.0
ood128,r45_posterior_lse,12,0.25,0.4330127018922193,0.4420572916666667,0.3333333333333333,0.25,32328.0,191.32356770833334,31.8125,9.246599487453667
ood128,ablation_group_max,12,0.08333333333333333,0.2763853991962833,0.3606770833333333,0.25,0.08333333333333333,32328.0,203.67057291666666,31.8125,16.589944613864827
