<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: r50_metrics.csv>index,condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,true_rank_before,true_rank_after,backward_addr_mean,backward_state_logp_mean
0,id8,greedy,24,0.9583333333333334,0.1998263134713633,0.96875,0.9583333333333334,0.9583333333333334,,,,
1,id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,,,,
2,id8,r50_backward_anchored,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0639284139576632,-9.066601466964316
3,id8,ablation_address_only_backward,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0639284139576632,-9.066601466964316
4,ood32,greedy,18,0.3333333333333333,0.4714045207910317,0.7065972222222222,0.2777777777777778,0.2777777777777778,,,,
5,ood32,r35_fixed32,18,1.0,0.0,1.0,1.0,1.0,,,,
6,ood32,r50_backward_anchored,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.8397703706514145,-9.34707149197228
7,ood32,ablation_address_only_backward,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.8397703706514145,-9.34707149197228
8,ood64,greedy,18,0.0555555555555555,0.2290614236454256,0.5164930555555556,0.0555555555555555,0.0555555555555555,,,,
9,ood64,r35_fixed32,18,0.9444444444444444,0.2290614236454256,0.9626736111111112,0.9444444444444444,0.9444444444444444,,,,
10,ood64,r50_backward_anchored,18,0.8888888888888888,0.3142696805273545,0.9626736111111112,0.9444444444444444,0.8888888888888888,1.0,1.0588235294117647,-1.0659042257132414,-10.155132280330283
11,ood64,ablation_address_only_backward,18,0.9444444444444444,0.2290614236454256,0.9626736111111112,0.9444444444444444,0.9444444444444444,1.0,1.0,-1.0659042257132414,-10.155132280330283
12,ood128,greedy,12,0.0833333333333333,0.2763853991962833,0.2903645833333333,0.0,0.0,,,,
13,ood128,r35_fixed32,12,0.5833333333333334,0.4930066485916347,0.640625,0.5833333333333334,0.5833333333333334,,,,
14,ood128,r50_backward_anchored,12,0.5833333333333334,0.4930066485916347,0.640625,0.5833333333333334,0.5833333333333334,1.0,1.0,-1.480361519242648,-11.389075620697144
15,ood128,ablation_address_only_backward,12,0.5833333333333334,0.4930066485916347,0.640625,0.5833333333333334,0.5833333333333334,1.0,1.0,-1.480361519242648,-11.389075620697144
