condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals
id8,raw96_greedy,36,0.8888888888888888,0.3142696805273545,0.9340277777777778,0.8611111111111112,0.8611111111111112,0.0
id8,raw96_r35_fixed32,36,0.9722222222222222,0.16433554953054488,1.0,1.0,0.9444444444444444,1608.0
id8,r52_optimized_ecc_r35,36,1.0,0.0,1.0,1.0,1.0,1608.0
id8,ablation_random_linear_r35,36,0.9722222222222222,0.16433554953054488,1.0,1.0,0.9722222222222222,1608.0
ood32,raw96_greedy,24,0.375,0.4841229182759271,0.7408854166666666,0.375,0.375,0.0
ood32,raw96_r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,7752.0
ood32,r52_optimized_ecc_r35,24,0.9166666666666666,0.2763853991962833,0.9700520833333334,0.9583333333333334,0.9166666666666666,7752.0
ood32,ablation_random_linear_r35,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,7752.0
ood64,raw96_greedy,24,0.08333333333333333,0.2763853991962833,0.3997395833333333,0.041666666666666664,0.041666666666666664,0.0
ood64,raw96_r35_fixed32,24,0.6666666666666666,0.4714045207910317,0.8157552083333334,0.75,0.6666666666666666,15944.0
ood64,r52_optimized_ecc_r35,24,0.7083333333333334,0.45452967144315476,0.802734375,0.7083333333333334,0.7083333333333334,15944.0
ood64,ablation_random_linear_r35,24,0.6666666666666666,0.4714045207910317,0.7936197916666666,0.7083333333333334,0.6666666666666666,15944.0
ood128,raw96_greedy,18,0.05555555555555555,0.2290614236454256,0.23567708333333334,0.0,0.0,0.0
ood128,raw96_r35_fixed32,18,0.4444444444444444,0.4969039949999533,0.5104166666666666,0.3888888888888889,0.3333333333333333,32328.0
ood128,r52_optimized_ecc_r35,18,0.4444444444444444,0.4969039949999533,0.5512152777777778,0.3888888888888889,0.3888888888888889,32328.0
ood128,ablation_random_linear_r35,18,0.3888888888888889,0.4874980215217846,0.4144965277777778,0.3333333333333333,0.3333333333333333,32328.0
