condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals,trigger_hyp_fraction,decoder_true_topk,reserved_slots_used_mean,protected_beam_fraction,true_prefix_reserved_fraction
id8,r52_ecc_r35,18,1.0,0.0,1.0,1.0,1.0,1608.0,,,,,
id8,r55_reserved,18,1.0,0.0,1.0,1.0,1.0,3101.777777777778,0.22812992656032888,0.9652777777777778,1.7777777777777777,0.07628518421257392,0.0
id8,ablation_r54_global_prune,18,1.0,0.0,1.0,1.0,1.0,3110.6666666666665,0.22951224890306657,0.9652777777777778,,,
ood32,r52_ecc_r35,12,1.0,0.0,1.0,1.0,1.0,7752.0,,,,,
ood32,r55_reserved,12,1.0,0.0,1.0,1.0,1.0,16465.333333333332,0.2760828045022168,0.9348958333333334,1.9583333333333333,0.0772825338632767,0.0
ood32,ablation_r54_global_prune,12,1.0,0.0,1.0,1.0,1.0,16534.666666666668,0.2783027656858102,0.9348958333333334,,,
ood64,r52_ecc_r35,12,0.6666666666666666,0.4714045207910317,0.7369791666666666,0.6666666666666666,0.6666666666666666,15944.0,,,,,
ood64,r55_reserved,12,0.75,0.4330127018922193,0.8098958333333334,0.75,0.75,32296.0,0.25488122529756085,0.9453125,1.9322916666666667,0.06603975124567124,0.005208333333333333
ood64,ablation_r54_global_prune,12,0.75,0.4330127018922193,0.8098958333333334,0.75,0.75,32421.333333333332,0.2568494438709271,0.9453125,,,
ood128,r52_ecc_r35,6,0.6666666666666666,0.4714045207910317,0.7044270833333334,0.6666666666666666,0.6666666666666666,32328.0,,,,,
ood128,r55_reserved,6,0.6666666666666666,0.4714045207910317,0.7044270833333334,0.6666666666666666,0.6666666666666666,70944.0,0.2982145499392498,0.9348958333333334,1.9765625,0.06470352564102565,0.0
ood128,ablation_r54_global_prune,6,0.6666666666666666,0.4714045207910317,0.7044270833333334,0.6666666666666666,0.6666666666666666,71349.33333333333,0.3013457953976179,0.9348958333333334,,,
